,Headlines,Article,Published_Dates,Source_URLs
125,"Nurse, 68, oldest healthcare worker to get vax in Goa",,2020-08-12,https://timesofindia.indiatimes.com/city/goa/nurse-68-oldest-healthcare-worker-to-get-vax-in-goa/articleshow/80308512.cms
126,Worth the vial: Goa can finally breathe easy,,2020-08-12,https://timesofindia.indiatimes.com/city/goa/senior-doctors-step-up-for-jab-lead-from-front/articleshow/80308481.cms
127,From paediatric vaccinator to Covid warrior,,2020-08-12,https://timesofindia.indiatimes.com/city/goa/from-paediatric-vaccinator-to-covid-warrior/articleshow/80308445.cms
128,"‘Vaccine only way forward, side-effects are all hype’",,2020-08-12,https://timesofindia.indiatimes.com/city/goa/vaccine-only-way-forward-side-effects-are-all-hype/articleshow/80308434.cms
129,"Thrilled to set an example, say frontline staff",,2020-08-12,https://timesofindia.indiatimes.com/city/goa/thrilled-to-set-an-example-say-frontline-staff/articleshow/80308418.cms
130,"Will continue working without hesitation, says sanitation worker who received Covid-19 vaccine shot",,2020-08-12,https://timesofindia.indiatimes.com/india/will-continue-working-without-hesitation-says-sanitation-worker-who-received-covid-19-vaccine-shot/articleshow/80301354.cms
131,"Wait over, Bihar ready to knock out Covid with jab",,2020-08-12,https://timesofindia.indiatimes.com/city/patna/wait-over-state-ready-to-knock-out-covid-with-jab/articleshow/80293215.cms
132,Kurichedu sanitizer deaths: 10 arrested for manufacturing and selling spurious sanitizers,,2020-08-12,https://timesofindia.indiatimes.com/city/vijayawada/kurichedu-sanitizer-deaths-10-arrested-for-manufacturing-and-selling-spurious-sanitizers/articleshow/77489135.cms
133,"MCD councillors, officers living like lords, while Covid-19 workers don't get pay: Delhi HC",,2020-08-12,https://timesofindia.indiatimes.com/city/delhi/mcd-councillors-officers-living-like-lords-while-covid-19-workers-dont-get-pay-delhi-hc/articleshow/80286072.cms
134,"Pune: Ex-cop loses Rs 10,000 to ATM sanitization trick by duo",,2020-08-12,https://timesofindia.indiatimes.com/city/pune/retd-cop-loses-rs-10k-with-atm-sanitization-hoax/articleshow/77438594.cms
135,"Sanitation workers, gardeners’ protest suspended for 10 days",,2020-08-12,https://timesofindia.indiatimes.com/city/dehradun/sanitation-workers-gardeners-protest-suspended-for-10-days/articleshow/77420840.cms
136,Gujarat: Sanitation worker dies hours after getting Covid-19 vaccine,,2020-08-12,https://timesofindia.indiatimes.com/city/vadodara/gujarat-sanitation-worker-dies-hours-after-getting-covid-19-vaccine/articleshow/80616710.cms
137,Sanitation work is permanent: Telangana HC,,2020-08-12,https://timesofindia.indiatimes.com/city/hyderabad/sanitation-work-is-permanent-hc/articleshow/78304628.cms
138,Chandigarh's young cricketer wants to be an actor to promote sports and sanitation,,2020-08-12,https://timesofindia.indiatimes.com/entertainment/events/chandigarh/chandigarhs-young-cricketer-wants-to-be-an-actor-to-promote-sports-and-sanitation/articleshow/80217742.cms
139,Chandigarh's young cricketer wants to be an actor to promote sports and sanitation,,2020-08-12,https://timesofindia.indiatimes.com/city/chandigarh/chandigarhs-young-cricketer-wants-to-be-an-actor-to-promote-sports-and-sanitation/articleshow/80218067.cms
140,Government caps maximum retail price of 200ml hand sanitizer at Rs 100 till June,,2020-03-21,https://timesofindia.indiatimes.com/business/india-business/government-caps-maximum-retail-price-of-200ml-hand-sanitizer-at-rs-100-till-june/articleshow/74745840.cms
